ID Cliente,Nome do Cliente,Data da Instalação,Tipo de Instalação,Endereço (Rua),Bairro,Cidade,Estado,CEP,Valor do Serviço (R$),Tipo de Pagamento,Nº Parcelas,Instituição Financeira,Origem do Cliente,Avaliação (1-5),Comentário do Cliente,Sistema (kWp),Nº de Placas,Indicação de Quem?,Vendedor Responsável
CLI001,Zoe Souza,2023-07-04,Residencial,"Praça Campos, 358",Xodo-Marize,Vieira,SP,91049709,48370.73,Boleto,0,,Outro,4,Optio adipisci consectetur reiciendis perspiciatis.,4.0,12,,Diana Santos
CLI002,Luiz Gustavo Barros,2024-12-19,Comercial,"Estação de Pastor, 1770",Solar Do Barreiro,Vargas,AL,03212-977,52868.64,Financiamento Bancário,72,Itaú,Google,2,Illo voluptates vero nihil.,3.3,11,,Bruno Silva
CLI003,Maria Isis Nogueira,2023-09-17,Rural,"Rua da Rosa, 301",Bacurau,Sales,PB,41605-868,59582.56,Cartão de Crédito,12,Mastercard,Panfleto,2,Occaecati ducimus incidunt a animi alias adipisci distinctio.,5.8,16,,Fernanda Lima
CLI004,Isabella Fogaça,2024-05-29,Rural,"Via de Novaes, 961",Nova Cachoeirinha,da Cruz,ES,98996606,22538.89,À Vista,0,,Indicação,1,,12.6,32,Luna Silveira,Bruno Silva
CLI005,Renan da Luz,2024-12-08,Residencial,"Campo de Cirino, 1365",Gameleira,Novais da Prata,SC,43648-866,77419.02,Financiamento Bancário,48,Banco do Brasil,Panfleto,2,,2.0,5,,Ana Clara
CLI006,Ana Beatriz Farias,2024-05-20,Industrial,"Largo Carolina Moraes, 805",Juliana,Guerra da Praia,CE,00841-677,19203.49,Cartão de Crédito,6,Elo,Google,2,Libero corrupti explicabo odit.,2.3,7,,Bruno Silva
CLI007,Bryan Abreu,2024-12-09,Industrial,"Chácara de Araújo, 497",Nossa Senhora Aparecida,Andrade do Sul,RO,88232517,75716.09,Financiamento Bancário,72,Santander,Google,4,,6.6,21,,Diana Santos
CLI008,Davi Luiz da Luz,2024-07-15,Residencial,"Núcleo Almeida, 266",Vila São Francisco,Rios,ES,40885-348,11123.03,Financiamento Bancário,36,Caixa Econômica Federal,Mídias Sociais,5,,18.5,55,,Ana Clara
CLI009,Sra. Emanuelly Sá,2023-12-24,Rural,"Rua Stella Melo, 730",Monte São José,Azevedo,PA,33584-684,51227.23,À Vista,0,,Google,3,,13.4,43,,Fernanda Lima
CLI010,Sr. Bruno Albuquerque,2024-12-29,Rural,"Favela de Moura, 289",São Damião,Leão,GO,22362412,47903.92,Cartão de Crédito,3,Mastercard,Mídias Sociais,4,,4.7,11,,Fernanda Lima
CLI011,Dr. Luiz Gustavo Costa,2024-07-09,Industrial,"Loteamento de Rocha, 177",Ipiranga,Sampaio,SE,76884658,19884.53,Financiamento Bancário,72,Bradesco,Site da Empresa,5,Sequi a unde laborum similique commodi.,16.2,44,,Carlos Oliveira
